"accuracy","time","generation","sub_gens","number_parents","evolution_method","mutation","crossover","f_default","cr_default","f_jde","cr_jde","archive_size","f_cr_adapt","perc_of_best","degl_scalar_weight","degl_neighborhoodclamp_min","clamp_max","random_min","random_max","restart_count","restart_delta","hidden_layers","dataset","output"
0.7714,263.099,8000.0,50.0,100.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_bin_1.0.json"
0.7911,262.866,8000.0,50.0,100.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_bin_0.5.json"
0.832,265.168,8000.0,50.0,100.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_bin_0.25.json"
0.8548,263.21,8000.0,50.0,100.0,"","rand/1","interm",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_interm_1.0.json"
0.8564,262.435,8000.0,50.0,100.0,"","rand/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_interm_0.5.json"
0.8594,261.784,8000.0,50.0,100.0,"","rand/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_interm_0.25.json"
0.7474,263.884,8000.0,50.0,100.0,"","best/1","bin",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_bin_1.0.json"
0.758,263.997,8000.0,50.0,100.0,"","best/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_bin_0.5.json"
0.8251,264.005,8000.0,50.0,100.0,"","best/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_bin_0.25.json"
0.7802,261.147,8000.0,50.0,100.0,"","best/1","interm",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_interm_1.0.json"
0.8025,259.3,8000.0,50.0,100.0,"","best/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_interm_0.5.json"
0.8388,262.697,8000.0,50.0,100.0,"","best/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_interm_0.25.json"
0.7881,343.726,8000.0,50.0,150.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_bin_1.0.json"
0.7861,344.426,8000.0,50.0,150.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_bin_0.5.json"
0.8279,345.556,8000.0,50.0,150.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_bin_0.25.json"
0.8596,344.821,8000.0,50.0,150.0,"","rand/1","interm",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_interm_1.0.json"
0.8739,343.487,8000.0,50.0,150.0,"","rand/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_interm_0.5.json"
0.8611,344.02,8000.0,50.0,150.0,"","rand/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_interm_0.25.json"
0.7425,343.505,8000.0,50.0,150.0,"","best/1","bin",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_bin_1.0.json"
0.773,346.298,8000.0,50.0,150.0,"","best/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_bin_0.5.json"
0.8197,344.179,8000.0,50.0,150.0,"","best/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_bin_0.25.json"
0.787,343.171,8000.0,50.0,150.0,"","best/1","interm",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_interm_1.0.json"
0.8151,344.35,8000.0,50.0,150.0,"","best/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_interm_0.5.json"
0.8446,345.217,8000.0,50.0,150.0,"","best/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_interm_0.25.json"
0.7855,90.977,8000.0,100.0,50.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_bin_1.0.json"
0.797,91.3409,8000.0,100.0,50.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_bin_0.5.json"
0.8372,90.7821,8000.0,100.0,50.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_bin_0.25.json"
0.8148,89.6747,8000.0,100.0,50.0,"","rand/1","interm",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_interm_1.0.json"
0.8495,88.717,8000.0,100.0,50.0,"","rand/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_interm_0.5.json"
0.8576,89.1249,8000.0,100.0,50.0,"","rand/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_interm_0.25.json"
0.7389,91.5187,8000.0,100.0,50.0,"","best/1","bin",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_bin_1.0.json"
0.768,92.1303,8000.0,100.0,50.0,"","best/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_bin_0.5.json"
0.8205,91.2981,8000.0,100.0,50.0,"","best/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_bin_0.25.json"
0.7845,90.6911,8000.0,100.0,50.0,"","best/1","interm",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_interm_1.0.json"
0.8156,89.9118,8000.0,100.0,50.0,"","best/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_interm_0.5.json"
0.8455,90.3608,8000.0,100.0,50.0,"","best/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_interm_0.25.json"
0.7967,145.821,8000.0,100.0,100.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_bin_1.0.json"
0.7907,145.923,8000.0,100.0,100.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_bin_0.5.json"
0.8246,145.962,8000.0,100.0,100.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_1_540x100_1s.gz","1_bin_0.25.json"
